location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,The slab reinforcement to the north of the pile cap at GL C 10 has been cut. Contractor to lap in new reinforcement to close the gap at the edge of the slab.,2019-09-17,2019-09-23,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,157,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,It was noted that the radon / waterproof membrane at the joint between the block 3 and block 4 slabs has been laid continuous below the two slabs. Contractor to review with MCA and confirm that the detail as installed is adequate.,2019-09-17,2019-09-23,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,230,Design Team,0
JPC Project Management>EHS Forms>01 Inspections,Metal lids have been delivered to site - need to be fixed to manhole chambers.,2019-09-20,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Management,1330,Safety,,9,4,autumn,0,3,78,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Noted that the first section of insitu slab from GL 9 ??? 12 has already been poured. It was noted that the cover to the slab at the pod recess looks low (rebar profile can be seen in the concrete). To be reviewed again by BMCE to determine if any remedial measures required.,2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,275,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"In general, the lap on the mesh is inadequate. Typically measuring aound 350 ??? 400mm. Contractor to ensure that minimum lap is achieved in all areas.",2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,151,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,There is hardened concrete on the top reinforcement of the transfer beams (remaining after the lower section pour). All concrete to be removed to ensure proper bond of the concrete to rebar.,2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,190,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,???Recesses are being formed in the slab at pod locations. Contractor to ensure that minimum cover to reinforcement is achieved in all areas. Current cover looks inadequate.,2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,173,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Box-outs have been left around service risers for cover plate installation. The reinforcement has not been left running through the box-out as agreed. Contractor to install reinforcement to the edge of the slab as agreed.,2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,221,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,The additional reinforcement in the top of the slab along GL 4 has been cut at the adjacent service riser for reason noted above. Contractor to install splice bars to ensure that top reinforcement is installed as detailed.,2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,222,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"It was noted that transfer beam along GL 4, D-E has been poured, with no provision left for the reinforcement which has to tie into the low level slab. Contractor to propose remedial detail to tie into the beam for agreement by BMCE.",2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,233,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"It was noted that transfer beam along GL 3.5, E-F has been poured, with no provision left for the wall which is hanging down to support the lower level roof slab. Contractor to propose remedial detail to connect the low level slab. Note that post-drilled bars will not be accepted in this case.",2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,294,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"For the deep beam along GL F, over the ESB substation, the cover to the link on the outside (north side) of the beam looks tight. Contractor to review is minimum cover can be achieved.",2019-09-24,2019-09-30,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,184,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"Insufficient cover to horizontal bars along GL 5, at GL C approx. Contractor to adjust bars to achieve minimum cover",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,116,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Sleeve for RW pipe has been installed directly beside the column along GL 5. To be repositioned minimum 600mm from the face of the column.,2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,138,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"No connection provided at the bottom of the beam along GL 5 to the transfer beam on the north end, as the transfer beam was poured first. Splice bars to be dowelled into the end of the transfer beam to lap with the bottom rebar. Also additional straight bars to be installed at the top of the beam to run into the screed over the precast slabs. Details of dowel bars to be agreed with BMCE",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,389,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"At GL 5, slab reinforcement to be dowelled into the end of the transfer beam.",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,77,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"For transfer beam parallel to GL 4, C-D, the side reinforcement is missing. To be installed.",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,92,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"For transfer beam south of GL C, parallel to GL 4, there is congestion of bottom reinforcement at the north end of the beam. Contractor to adjust some of the rebar to ensure that concrete can flow around the bars.",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,213,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"Where transfer beams have been poured to 1/3 span, the formed surfaces have not been prepared for the next pour. Contractor to ensure that the surface is properly prepared before concrete is poured.",2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,198,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,Noted that there are discrepancies between the number of starter bars and main bars in each of the three columns. It appears that some of the cages may have been installed in the incorrect locations. Contractor to review the design drawings and ensure that the correct reinforcement is installed in the correct location.,2019-09-29,2019-10-05,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,6,autumn,0,4,320,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Existing Buildings,Guide wall close to neighboring building,2019-10-07,,Photo Record,Unknown,Unknown,True,Unknown,Unknown,Unknown,Unknown,1329,Site Management,,10,0,autumn,0,3,40,Site Management,0
1328 - Townsend St,Ladder inspections to be review. 1 ladder found at end of day with inspection expiry due. 1 ladder found inspection tag damaged. 1 ladder found no inspection tag.,2019-10-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Working At Height,1328,Safety,,10,0,autumn,0,1,162,Safety,0
1328 - Townsend St,Lightning protection tape causing trip hazard to be reviewed,2019-10-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,10,0,autumn,0,1,60,Safety,0
1328 - Townsend St,Raps to review working area. access congested with materials and rebar tops exposed.,2019-10-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,10,0,autumn,0,1,84,Safety,0
1328 - Townsend St,John walls have exclusion zone in place at the end of the day,2019-10-14,,Safety Notice (Green) - Good Observation,Unknown,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Environmental,1328,Safety,,10,0,autumn,0,1,61,Safety,0
1328 - Townsend St,Good access to crane base. Quick response on item raised at whiteboard,2019-10-14,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,10,0,autumn,0,1,70,Safety,0
1328 - Townsend St,Barriers / Tape to be installed to perimeters of wet concrete,2019-10-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,10,0,autumn,0,1,61,Safety,0
1328 - Townsend St,Compressor requires drip tray,2019-10-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Environmental,1328,Safety,,10,0,autumn,0,1,29,Safety,0
1328 - Townsend St,Toe beards required to perimeter of level 02 slab,2019-10-14,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Scaffolding,1328,Safety,,10,0,autumn,0,1,49,Safety,0
1328 - Townsend St,Starter bars in wrong locations and starter bars too high.,2019-10-18,2019-10-24,Quality - Works To Complete,Main Contractor,Unknown,True,True,Unknown,Medium,Unknown,1328,Quality,6.0,10,4,autumn,0,1,58,Quality,0
1328 - Townsend St,Area not clear to land walls. Stepping over steel to access.,2019-10-18,2019-10-24,Quality - Works To Complete,Main Contractor,Unknown,True,True,Unknown,High,Unknown,1328,Quality,6.0,10,4,autumn,0,1,60,Quality,0
JPC Project Management>EHS Forms,"Following internal audit carried out during the week, an action to be reviewed is the Edge protection in the form of double handrail system to the new constructed Process Waste Water sump with regards temporary works design required.",2019-10-20,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Temporary Works,1330,Safety,,10,6,autumn,0,2,233,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,Longitudinal crack in one precast floor slab. JPC to review with Flood Precast and confirm that the structural integrity of the precast unit has not been compromised.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,166,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,Large joint between slabs. JPC to review with Floods and confirm how this gap is to be filled.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,94,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,"Bearing onto steel beams ??? At some locations, there are gaps between the precast and the steel, with a reduction in the bearing provided to the precast unit. JPC to review with Flood Precast and confirm that they are satisfied with the bearing of the units.",2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,259,Design Team,0
1328 - Townsend St,Transfer Beam on GL 11 - Starter bars for precast wall panels above to be added,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,1,79,Design Team,0
1328 - Townsend St,Ground Floor Level Lift Wall - Additional bars (straights and U-bars) to be added in the nib between the door opes where the nib has increased due to lift supplier dimensions.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,1,175,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Staircore 1 & 3 Landings - Cut coni-bar to be replaced.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,55,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Staircore 1 & 3 Landings - Incorrect bottom reinforcement in both landings.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,75,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Staircore 1 & 3 Landings - Reinforcement in the recessed section to be positioned within the U-bar.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,99,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Staircore 1 Landing ??? No cover to the top coni-bar on the low level wall.,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,75,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Staircore 3 Landing ??? Blue plastic strip to be removed from the line of the coni-bar,2019-10-26,2019-11-02,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,7.0,10,5,autumn,0,4,86,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,"Level 2 Slab - ???	Mesh to be provided across the top of 254UC beam to prevent cracking of the screed,",2019-10-28,2019-11-04,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,0,autumn,0,4,102,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,"Level 2 Slab - ???	In areas where structural screed has been poured and a recess formed for the pods, insufficient cover has been achieved to the top reinforcement. JPC to confirm what product is proposed to infill the recesses.",2019-10-28,2019-11-04,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,0,autumn,0,4,228,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,"Level 1 Walls - Precast Wall Panel along GL 4, D-E has been cut, exposing the reinforcement at the end of the wall. JPC / Floor Precast to propose remedial measures to achieve the required cover to the wall panel.",2019-10-28,2019-11-04,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,7.0,10,0,autumn,0,4,213,Design Team,0
